"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 4, 2016",Nevada,"Las Vegas","Puebla Street and East San Miguel Ave",1,0,N/A
"November 3, 2016",Texas,Houston,"2600 Telephone Road",1,0,N/A
"November 3, 2016",California,"San Jose","Bambi Lane and Peter Pan Avenue",1,1,N/A
"November 3, 2016",Texas,Colleyville,"5401 Heritage Ave",0,0,N/A
"November 3, 2016",Michigan,"Bay City","Third Street and Jackson Street",0,0,N/A
"November 3, 2016",Ohio,Columbus,"3100 block of Somerset Court South",0,1,N/A
"November 3, 2016",Pennsylvania,Hermitage,"1275 N Hermitage Rd",0,1,N/A
"November 3, 2016",California,Whittier,"11303 Washington Boulevard",1,0,N/A
"November 3, 2016","New York",Bronx,"East 161st Street and Jerome Avenue",1,0,N/A
"November 3, 2016",Michigan,Detroit,N/A,0,1,N/A
"November 3, 2016",Michigan,Detroit,"West McNicholas Road and Southfield Service Drive",0,1,N/A
"November 3, 2016",Michigan,Detroit,"Woodrow Wilson Street and Cortland Street",1,0,N/A
"November 3, 2016",Michigan,Detroit,"Indiana Street and Midland Street",0,1,N/A
"November 3, 2016",Michigan,Detroit,"3600 Block of Chatsworth Street",1,0,N/A
"November 3, 2016",Virginia,Lynchburg,"1470 Tenbury Drive",0,2,N/A
"November 3, 2016",Mississippi,Hazlehurst,"Nelson Drive",0,1,N/A
"November 3, 2016",Georgia,Loganville,"Escoe Drive",1,0,N/A
"November 3, 2016",Wisconsin,Milwaukee,"52nd and Auer",0,1,N/A
"November 3, 2016","North Carolina",Salisbury,"600 block of East Lafayette Street",1,0,N/A
"November 3, 2016","District of Columbia",Washington,"1300 block of Morris Rd",0,0,N/A
"November 3, 2016","District of Columbia",Washington,"3600 block of Brothers Place",0,0,N/A
"November 3, 2016",Washington,"Bonney Lake","2300 block of Prairie Ridge Drive",1,0,N/A
"November 3, 2016",Texas,Houston,"705 Crosstimbers",0,0,N/A
"November 3, 2016",Indiana,"East Chicago","4800 block of Grasselli Street",0,1,N/A
"November 3, 2016",Tennessee,Memphis,"4100 block of Winding Brook Lane",0,1,N/A
"November 3, 2016",Tennessee,Hampton,"408 US 321 Scenic",0,0,N/A
"November 3, 2016",Indiana,Evansville,"Sunburst Boulevard and East Riverside",0,1,N/A
"November 3, 2016",Oklahoma,Tulsa,"East Woodrow",0,1,N/A
"November 3, 2016",Virginia,Roanoke,"Green Ridge Road and Cove Road",0,0,N/A
"November 3, 2016",Mississippi,Greenwood,"Bowie Lane",0,0,N/A
"November 3, 2016",Pennsylvania,Chambersburg,"112 N 7th Street",1,0,N/A
"November 3, 2016","District of Columbia",Washington,"2500 block of Horse Stable Lane NW",0,1,N/A
"November 3, 2016",Indiana,Kokomo,"4508 East 200 South",0,1,N/A
"November 3, 2016",Arizona,Yuma,"2200 South Avenue B",1,0,N/A
"November 3, 2016",Alabama,Mobile,"Church Street",1,0,N/A
"November 3, 2016",Indiana,Indianapolis,"1900 block of North Colorado Avenue",1,0,N/A
"November 3, 2016",Florida,"West Palm Beach (Lake Park)","Lakes Boulevard",0,0,N/A
"November 3, 2016",Florida,Melbourne,N/A,0,0,N/A
"November 3, 2016",Florida,Deltona,"Ryan Lane",0,1,N/A
"November 3, 2016",Illinois,Champaign,"100 block of East Green Street",0,2,N/A
"November 3, 2016",Florida,"Panama City","Hudson Road and US 231",0,0,N/A
"November 3, 2016",Florida,Tampa,"McLaurin Drive",0,0,N/A
"November 3, 2016",Virginia,Grottoes,"100 block of Strickley Road",0,1,N/A
"November 3, 2016",Illinois,Rockford,"4900 block of Hinsdale Avenue",0,1,N/A
"November 3, 2016",Virginia,Roanoke,"1800 block of Franwill Avenue Northwest",0,1,N/A
"November 3, 2016",Illinois,Peoria,"1000 block of West McClure Avenue",0,1,N/A
"November 3, 2016",Illinois,"Mount Prospect","400 block of See Gwun Avenue",0,0,N/A
"November 3, 2016",Illinois,Chicago,"1400 block of West Lunt",0,1,N/A
"November 3, 2016",Illinois,Chicago,"3500 block of West Jackson",0,1,N/A
"November 3, 2016","North Carolina",Greensboro,"3604 Summit Avenue",0,1,N/A
"November 3, 2016","North Carolina",Salisbury,"1200 block of W. Horah Street",0,1,N/A
"November 3, 2016",Mississippi,Jackson,"Gaddis Street",1,1,N/A
"November 3, 2016","South Carolina","Richland (county)","100 block of Charmont Drive",0,1,N/A
"November 3, 2016",Alabama,Montgomery,"2500 block of Poplar Street",0,1,N/A
"November 3, 2016",Tennessee,Memphis,"Kirby Road and Mt. Moriah Rd",0,2,N/A
"November 3, 2016",Alabama,Birmingham,"125 Roebuck Drive",0,1,N/A
"November 3, 2016",Alabama,Birmingham,"900 block of Sunset Drive",0,0,N/A
"November 3, 2016",Alabama,Dothan,"3400 block of Denton Road",0,1,N/A
"November 3, 2016",California,Fullerton,"1300 block of South Orange Avenue",1,1,N/A
"November 3, 2016",Louisiana,"New Orleans","4600 block of Viola Street",0,0,N/A
"November 3, 2016",California,Goshen,"6500 block og Betty Drive",1,0,N/A
"November 3, 2016",California,Eureka,"1600 block of Summer Street",0,0,N/A
"November 3, 2016",Tennessee,Nashville,"1000 block of Amberwood Circle",0,2,N/A
"November 3, 2016",California,"Santa Ana","5th Street and Lacy Street",0,1,N/A
"November 3, 2016",California,Rialto,"800 block of North Belden Avenue",0,1,N/A
"November 3, 2016",California,"Long Beach","Archibald Avenue and San Bernardino Road",0,0,N/A
"November 3, 2016",Virginia,"Glen Allen","2204 Mountain Road",0,0,N/A
"November 3, 2016",California,"Los Angeles (county)","East Fork Road",0,1,N/A
"November 3, 2016",Louisiana,"Baton Rouge","1900 Block of Nebraska Street",0,0,N/A
"November 3, 2016",California,"Panorama City","14000 block of Terra Bella Street",0,0,N/A
"November 3, 2016",Illinois,Chicago,"8300 block of Washtenaw Avenue",0,1,N/A
"November 3, 2016",Illinois,Chicago,"7100 block of West Addison",0,1,N/A
"November 3, 2016",Illinois,Chicago,"7000 block of South Jeffery",0,1,N/A
"November 3, 2016",Alabama,Eutaw,"Wilson Street",1,0,N/A
"November 3, 2016",Illinois,"Chicago (Englewood)","State and Garfield",0,1,N/A
"November 3, 2016",Louisiana,"New Orleans","14000 Block of Chef Menteur Highway",1,0,N/A
"November 3, 2016",Alabama,Birmingham,"5th Street West",0,0,N/A
"November 3, 2016",Illinois,Chicago,"5000 block of West Concord",1,1,N/A
"November 3, 2016",Illinois,Chicago,"6610 block of South Stony Island",0,1,N/A
"November 3, 2016",Delaware,Wilmington,"400 block of West 25th",0,1,N/A
"November 3, 2016",Illinois,Chicago,"1300 block of West 103rd Street",0,2,N/A
"November 3, 2016",Illinois,Chicago,"4800 block of South Laflin",1,0,N/A
"November 3, 2016",Maryland,Baltimore,"1800 block of Ruxton Avenue",0,1,N/A
"November 3, 2016",Massachusetts,Framingham,"12 Torrey St",0,0,N/A
"November 3, 2016",Illinois,"Chicago (Englewood)","7100 block of South Wolcott",0,1,N/A
"November 3, 2016",Delaware,Wilmington,"600 block of N. Madison St",0,0,N/A
"November 3, 2016",Illinois,Chicago,"3800 block of West Flournoy",0,2,N/A
"November 3, 2016",California,"Los Angeles","Figueroa Street and Manchester Avenue",0,0,N/A
"November 3, 2016",Massachusetts,Worcester,"Sunderland Rd",0,0,N/A
"November 3, 2016",California,Oakland,"500 block of Brush Street",0,1,N/A
"November 3, 2016",Georgia,Savannah,"Emerald Dr.",0,1,N/A
"November 3, 2016",Florida,Jupiter,"1694 West Indiantown Road",0,1,N/A
"November 3, 2016","South Carolina","Hilton Head Island","26 Palmetto Bay Road",0,1,N/A
"November 3, 2016",Texas,"San Antonio","2000 block of Bandera Road",0,1,N/A
"November 3, 2016",Michigan,Detroit,"7 Mile Road and Wyoming",0,1,N/A
"November 3, 2016",California,Olivehurst,"Feather Blvd and Virginia Avenue",0,0,N/A
"November 3, 2016",Texas,Houston,"225 Aldine Bender Road",0,2,N/A
"November 3, 2016",Illinois,Chicago,"8000 block of South Shore Drive",2,2,N/A
"November 3, 2016",Texas,Houston,"Gulf Freeway",1,0,N/A
"November 3, 2016",Georgia,Savannah,"1500 block of E. 33rd Street",0,3,N/A
"November 3, 2016",Mississippi,Biloxi,"Rodenberg Ave.",0,3,N/A
"November 3, 2016",Florida,Bradenton,"1100 block of 5th Street West",1,0,N/A
"November 3, 2016",Delaware,Wilmington,"1000 block of N. Church Street",0,0,N/A
"November 3, 2016",Texas,"Grand Prairie","1300 block of Southeast Fourth Street",2,0,N/A
"November 3, 2016",Maine,Springfield,N/A,0,1,N/A
"November 3, 2016",Texas,Frisco,"4851 Legacy Drive",0,0,N/A
"November 3, 2016",Oklahoma,Altus,"1000 Block of Box Street",0,0,N/A
"November 3, 2016",Oklahoma,"Sapulpa (Sepulpa)","6100 Block of South 45th West Avenue",0,1,N/A
"November 3, 2016",Ohio,"Warren (county)","3100 block of Oregonia Road",1,0,N/A
"November 3, 2016",Ohio,Dayton,"3000 Block of Otterbein Avenue",0,1,N/A
"November 3, 2016",Ohio,Fairborn,"8300 Dayton Springfield Road",0,1,N/A
"November 3, 2016","New Jersey",Camden,"1100 Block of Thurman St",0,0,N/A
"November 3, 2016","New Jersey","Jersey City","Fulton Avenue",1,0,N/A
"November 3, 2016","New Jersey",Linden,"221 W St. Georges Avenue",0,0,N/A
"November 3, 2016","New Jersey",Orange,"234 Cleveland Street",2,1,N/A
"November 3, 2016",Arkansas,Winchester,"Thomas Street",0,2,N/A
"November 3, 2016",Texas,Houston,"800 Crosstimbers Street",0,1,N/A
"November 3, 2016",Nevada,Fernley,"2300 East Newlands Road",1,1,N/A
"November 3, 2016",Pennsylvania,Philadelphia,"4500 block of North Gratz Street",0,1,N/A
"November 2, 2016",Utah,"West Jordan","6761 South Redwood Road",1,0,N/A
"November 2, 2016",Tennessee,Knoxville,"4301 Tomlinson Street",0,1,N/A
"November 2, 2016",Indiana,Indianapolis,"1200 North Girls School Road",0,0,N/A
"November 2, 2016",Michigan,Clinton,"44575 Garfield Road",0,0,N/A
"November 2, 2016","South Carolina",Columbia,"300 Block of May Oak Road",0,0,N/A
"November 2, 2016",Washington,Yakima,"800 block of North Second Street",0,1,N/A
"November 2, 2016",Indiana,Indianapolis,"5700 block of Port Lillian Dr.",0,1,N/A
"November 2, 2016",Pennsylvania,"Spring Grove",N/A,0,0,N/A
"November 2, 2016",Tennessee,Memphis,"2700 block of Deadrick",0,1,N/A
"November 2, 2016","New Jersey",Bergenfield,"Day Avenue",0,0,N/A
"November 2, 2016","South Carolina",Anderson,"653 SC 28 B",0,1,N/A
"November 2, 2016",Missouri,"Kansas City","Meyer and Prospect",1,0,N/A
"November 2, 2016","New Jersey","Jersey City","Wegman Parkway and Ocean Avenue",0,1,N/A
"November 2, 2016",Ohio,"Fairborn (Beavercreek)",N/A,0,1,N/A
"November 2, 2016",California,Marysville,"414 E Street",1,0,N/A
"November 2, 2016",Delaware,Wilmington,"1200 block of Lancaster Ave",0,1,N/A
"November 2, 2016",Pennsylvania,Philadelphia,"E Lycoming Street",1,0,N/A
"November 2, 2016","North Carolina","Southern Pines","Illinois Street and Carlisle Street",0,1,N/A
"November 2, 2016","District of Columbia",Washington,"1600 block of T Street SE",1,0,N/A
"November 2, 2016",Indiana,Evansville,N/A,0,0,N/A
"November 2, 2016",Pennsylvania,Philadelphia,"Chelten Avenue and Greene Street",0,1,N/A
"November 2, 2016",Washington,"North Bend","400 block of SE North Bend Way",0,0,N/A
"November 2, 2016",Arkansas,Farmington,"263 Countryside Drive",0,1,N/A
"November 2, 2016",Montana,Billings,"5435 Midland Road",0,0,N/A
"November 2, 2016",Texas,Dallas,"1200 block of Aspermont Avenue",0,1,N/A
"November 2, 2016",Maryland,"Capitol Heights","4100 block of Byers St.",1,0,N/A
"November 2, 2016",Iowa,"Sioux City","1600 block of West 14th Street",0,0,N/A
"November 2, 2016",Georgia,Valdosta,"1300 Melody Lane",0,1,N/A
"November 2, 2016",Georgia,"Warner Robins","300 Carolina Avenue",0,1,N/A
"November 2, 2016",Indiana,Indianapolis,N/A,0,0,N/A
"November 2, 2016",Oklahoma,"Oklahoma City (Del City)","2300 block of Mansfield Avenue",0,1,N/A
"November 2, 2016",Illinois,Springfield,"140 W. Lenox Ave",0,0,N/A
"November 2, 2016",Connecticut,"New Haven","500 block of George Street",0,1,N/A
"November 2, 2016",Connecticut,Norwalk,"Bayview Avenue and Golden Hill Street",0,0,N/A
"November 2, 2016",Florida,Jacksonville,"400 Century 21 Drive",0,1,N/A
"November 2, 2016",Indiana,Indianapolis,"4300 block of Norwaldo Avenue",1,0,N/A
"November 2, 2016",Florida,"Lady Lake","Crossroads Drive",0,0,N/A
"November 2, 2016",Florida,"Homestead (Florida City)","650 Southwest 7th Terrace",1,1,N/A
"November 2, 2016",Florida,Apopka,"943 West Orange Blossom Trail",0,1,N/A
"November 2, 2016",Georgia,Atlanta,"Vanderbilt Court",1,0,N/A
"November 2, 2016",Florida,Jacksonville,"1200 block of West 22nd Street",0,1,N/A
"November 2, 2016",Florida,Jacksonville,"2000 West 26th Street",0,0,N/A
"November 2, 2016",Florida,Jacksonville,"4200 West Moncrief Road",0,1,N/A
"November 2, 2016",Florida,Jacksonville,"Southside Boulevard and Beach Boulevard",0,0,N/A
"November 2, 2016",Illinois,Rantoul,"1000 block of Ruth Crane Drive",0,0,N/A
"November 2, 2016",Florida,Jacksonville,"9800 Arnold Road",0,0,N/A
"November 2, 2016",Florida,"Miami (Kendall)","SW 200th Street and SW 157th Avenue",2,2,N/A
"November 2, 2016","North Carolina","Elizabeth City","800 block of Walker Avenue",0,2,N/A
"November 2, 2016",Illinois,Chicago,"1500 block of South Komensky",0,1,N/A
"November 2, 2016",Illinois,Chicago,"300 block of South Whipple",0,1,N/A
"November 2, 2016",Louisiana,Gray,"500 block of Linda Ann Avenue",0,1,N/A
"November 2, 2016",Kentucky,Bonnyman,"Greenbriar Court",0,0,N/A
"November 2, 2016","New York",Bronx,"400 East 180th Street",0,1,N/A
"November 2, 2016",Arkansas,Texarkana,"2400 block of County Ave.",1,0,N/A
"November 2, 2016","South Carolina",Summerville,"107 Daffodil St.",1,0,N/A
"November 2, 2016",Kentucky,Louisville,"Fordhaven Road",0,1,N/A
"November 2, 2016",Virginia,"Newport News","800 block of 80th Street",0,1,N/A
"November 2, 2016",Virginia,Hampton,"1900 block of Cunningham Drive",0,1,N/A
"November 2, 2016",Tennessee,Memphis,"1900 block of E. Holmes Road",0,1,N/A
"November 2, 2016",California,"Los Angeles (county)",N/A,0,0,N/A
"November 2, 2016",California,Fresno,"3187 Borth Parkway Drive",1,0,N/A
"November 2, 2016",Georgia,"Atlanta (College Park)","5400 block of Old National Highway",0,0,N/A
"November 2, 2016",Iowa,"Des Moines","Merle Hay & Sheridan",2,0,N/A
"November 2, 2016",Tennessee,Nashville,"Johnson Bridge Road",0,0,N/A
"November 2, 2016",California,Eureka,"1100 block of L Street",0,0,N/A
"November 2, 2016",Louisiana,"New Orleans","St. Bernard Avenue  and North Claiborne Avenue",0,1,N/A
"November 2, 2016",Louisiana,"New Orleans","2400 block of St. Roch Avenue",0,1,N/A
"November 2, 2016",Nebraska,Lincoln,"2700 block of Laredo Drive",0,0,N/A
"November 2, 2016",Louisiana,"Baton Rouge","Kentucky Street",0,1,N/A
"November 2, 2016",Colorado,"Grand Junction","F 1/4 Road and Temple Way",0,0,N/A
"November 2, 2016",Louisiana,"Baton Rouge","2000 Block of Nebraska Street",1,0,N/A
"November 2, 2016",Texas,"Fort Worth","3800 block of Ryan Avenue",2,0,N/A
"November 2, 2016",Georgia,Snellville,"Lenora Road",1,0,N/A
"November 2, 2016",Louisiana,Houma,"1367 LA-182",1,0,N/A
"November 2, 2016",Illinois,Chicago,"5100 block of West End",0,1,N/A
"November 2, 2016",Illinois,Chicago,"8600 block of South Hermitage Avenue",0,1,N/A
"November 2, 2016",Illinois,Chicago,"11900 block of South Stewart Avenue",0,1,N/A
"November 2, 2016",Illinois,"Chicago (Englewood)","6600 block of South Bishop",0,1,N/A
"November 2, 2016",Illinois,Chicago,"1400 block of West 87th Street",0,1,N/A
"November 2, 2016",Illinois,Chicago,"700 block of South Kenneth Avenue",0,1,N/A
"November 2, 2016",Illinois,Chicago,"7100 block of South Rhodes",1,0,N/A
"November 2, 2016",Texas,"Upshur (county)",N/A,0,1,N/A
"November 2, 2016",Illinois,Chicago,"7300 block of South Maplewood",1,0,N/A
"November 2, 2016",Idaho,Pocatello,"300 block of North Arthur Avenue",0,0,N/A
"November 2, 2016",Illinois,Chicago,"3800 block of West Jackson",0,2,N/A
"November 2, 2016",Kentucky,Lexington,"1111 Centre Parkway",0,0,N/A
"November 2, 2016",Illinois,Elgin,"1800 block of Monday Drive",0,1,N/A
"November 2, 2016",Illinois,Chicago,"5500 block of West North Avenue",0,1,N/A
"November 2, 2016",Illinois,Chicago,"3000 block of West 5th Avenue",1,0,N/A
"November 2, 2016",Alabama,"Gadsden (Glencoe)","307 Aderholt Street",2,0,N/A
"November 2, 2016",Maryland,Baltimore,"2700 block of Saint Paul Street",0,1,N/A
"November 2, 2016",Maryland,Baltimore,"900 block of North Calhoun Street",0,0,N/A
"November 2, 2016",Colorado,"Grand Junction","1400 North 5th Street",1,0,N/A
"November 2, 2016",Illinois,Chicago,"4700 block of West Van Buren",0,1,N/A
"November 2, 2016",Delaware,Wilmington,"1300 block of Chestnut Street",0,1,N/A
"November 2, 2016",Delaware,Wilmington,"1300 block of Chestnut Street",0,1,N/A
"November 2, 2016",Illinois,Chicago,"3000 block of South Avers",0,2,N/A
"November 2, 2016",Texas,Groves,"5307 Gulfway Drive",0,1,N/A
"November 2, 2016",California,Oxnard,"3100 block of Peninsula Road",0,0,N/A
"November 2, 2016",California,Encinitas,"2300 block of Carol View Drive",0,0,N/A
"November 2, 2016",California,Norwalk,"163rd Street and Clarkdale Avenue",0,0,N/A
"November 2, 2016",Tennessee,Clarksville,"800 block of Peachers Mill Road",0,1,N/A
